"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
prepr_prep_initiate,prep_initial_register,,yesno,"<span style=""color: green;""><strong>PrEPr-13</strong></span> Does the client agree to Initiate PrEP?",,"section c in client form",,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_first_prep,prep_initial_register,,yesno,"<span style=""color: green;""><strong>PrEPr-14</strong></span> Is this the client's first initiation on PrEP this year?",,,,,,,"[prepr_prep_initiate] = '1'",y,,,,," @HIDDEN"
prepr_prep_initiate_no,prep_initial_register,,notes,"<span style=""color: green;""><strong>PrePr-14b</strong></span> Why does the client reject PrEP Initiation?",,,,,,,"[prepr_prep_initiate] = '0'",y,,,,," @HIDDEN"
prepr_prep_start_date,prep_initial_register,,text,"<span style=""color: green;""><strong>PrEPr-14</strong></span> PrEP start date",,,date_ymd,,,,"[prepr_prep_initiate] = '1'",y,,,,,
prep_access,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-S</strong></span> Did the client access this service?","Y, Yes | N, No | UN, Unverified",,,,,,,y,,,,,
prep_visit_date,prep_follow_ups,,text,"<span style=""color: green;""><strong>PrEP-19a</strong></span> Visit date",,,date_ymd,,,,"[prep_access] = 'Y'",y,,,,,
prep_next_visit_date,prep_follow_ups,,text,"<span style=""color: green;""><strong>PrEP-19b</strong></span> Next visit date",,,date_ymd,,,,"[prep_access] = 'Y'",y,,,,,
prep_hiv_test,prep_follow_ups,,yesno,"<span style=""color: green;""><strong>PrEP-19c</strong></span> HIV test done?",,,,,,,"[prep_access] = 'Y'",y,,,,,
prep_hiv_test_results,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-19c-1</strong></span> What are the results","P, Positive | N, Negative | I, Inconclusive",,,,,,"[prep_hiv_test] = '1'",y,,,,,
prep_hiv_test_nd,prep_follow_ups,,notes,"<span style=""color: green;""><strong>PrePr-19c-2</strong></span> Why was HIV test not done?",,,,,,,"[prep_hiv_test] = '0'",y,,,,,
prep_visit_status,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-19d</strong></span> Visit Status","E, Earlier than appointment | OT, On time | L, Late (less than 2 weeks) | D, Default (greater than 2 weeks but less than 90 days) | P, Previously LTFU ( greater than 90 days)",,,,,,"[prep_access] = 'Y'",y,,,,,
prep_risk_assessment,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-19e</strong></span> Risk Assessment Conclusion","HR, Client is at high HIV risk | NHR, Client is not at high HIV risk | AcHIV, Suspected Acute HIV infection | PEP, Post Exposure Prophylaxis offered | REQ, Client not HR but requests PrEP | ND, Not done",,,,,,"[prep_access] = 'Y'",y,,,,,
prep_prep_type,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-19g</strong></span> Prep Type","O, Oral, | R, Ring | I, Injectible",,,,,,"[prep_access] = 'Y'",y,,,,,
prep_pbreast,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-19h</strong></span> Pregnant/Breast feeding?","P, Pregnant | B, Breast Feeding | NA, Not Applicable",,,,,,"[prep_access] = 'Y'",y,,,,,
prep_follow_up_status,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-19i</strong></span> Prep Follow Up status","Px, Active on PrEP | OO, Client Opted Out | WTH, Clinician decision  to withdraw | TO, Transfer out | TI, Transfer In | SC, Seroconversion | D, Client Died | LTFU, Lost to follow up",,,,,,"[prep_access] = 'Y'",y,,,,,
prep_adverse_events,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-19j</strong></span> Adverse events reported","NON, Non reported | MIL, Mild adverse events | MOD, Moderate adverse events | SAE, Severe adverse events",,,,,,"[prep_access] = 'Y'",y,,,,,
prep_copt_out_date,prep_follow_ups,,text,"<span style=""color: green;""><strong>PrEP-20</strong></span> Date of Client Opt Out",,,date_ymd,,,,"[prep_follow_up_status] = 'OO'",y,,,,,
prep_cwithdrawal_date,prep_follow_ups,,text,"<span style=""color: green;""><strong>PrEP-20</strong></span> Date of Clinical Withdrawal",,,date_ymd,,,,"[prep_follow_up_status] = 'WTH'",y,,,,,
prep_withdrawal_reason,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-22a</strong></span> Reason for Opt-Out, discontinuation or withdrawal","RP, Change in risk profile | REF, Plans to re-initiate in the future | MIL, Mild adverse events | MOD, Moderate adverse events | SAE, Severe adverse events | CRCL, Creatinine fail/renal impairment | PAR, Partner or parent concerns | OPREV, Prefers other HIV prevention strategies | PD, Pill Burden | CIL, Change in Location | FPHR, Fear of periodic HIV re-test | O, Other",,,,,,"[prep_follow_up_status] = 'OO' or [prep_follow_up_status] = 'WTH' or [prep_follow_up_status] = 'TO' or [prep_follow_up_status] = 'LTFU'",y,,,,,
prep_with_other,prep_follow_ups,,text,"<span style=""color: green;""><strong>PrEP-22b</strong></span> Other Specify",,,,,,,"[prep_withdrawal_reason] = 'O'",y,,,,,
prep_client_outcome,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-23</strong></span> Client outcome","1, Switching from oral to injectable | 2, Switching from injectable to oral | 3, Discontinued | 4, Transferred out",,,,,,"[prep_access] = 'Y'",y,,,,,
prep_service_provider,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-24</strong></span> Service Provider","1, Provider | 2, Nurse | 3, Midwife",,,,,,"[prep_access] = 'Y'",y,,,,,
prep_comments,prep_follow_ups,,notes,"<span style=""color: green;""><strong>PrEP-25</strong></span> Comments",,,,,,,"[prep_access] = 'Y'",,,,,,
mh_access,mental_health,,radio,"<span style=""color: purple;""><strong>MH-S</strong></span> Did the client access this service?","Y, Yes | N, No | UN, Unverified",,,,,,,y,,,,,
mh_screening_tools,mental_health,,yesno,"<span style=""color: purple;""><strong>MH-0</strong></span> Does client have/undergo any Mental Health Screening Tools?",,,,,,,"[mh_access] = 'Y'",y,,,,,
mh_screening_results,mental_health,,radio,"<span style=""color: purple;""><strong>MH-1</strong></span> What was the screening result?","P, Positive | N, Negative | NA, Not Applicable",,,,,,"[mh_screening_tools] = '1'",y,,,,,
mh_management_outcome,mental_health,,radio,"<span style=""color: purple;""><strong>MH-2</strong></span> Management outcome?","R, Referred | M, Managed | B, Both referred and managed, | N, Not Applicable",,,,,,"[mh_screening_tools] = '1'",y,,,,,
mh_substance_identified,mental_health,,yesno,"<span style=""color: purple;""><strong>MH-3</strong></span> Was substance use identified?",,,,,,,"[mh_screening_tools] = '1'",y,,,,,
mh_substance_used,mental_health,,checkbox,"<span style=""color: purple;""><strong>MH-4</strong></span> Substance used?","1, Benzodiazepines | 2, Opioids | 3, Alcohol | 4, Crystal Meth | 5, Cannabis | 6, Cocaine | 7, Homemade | 8, Other (Specify)",,,,,,"[mh_substance_identified] = '1'",y,,,,,
mh_substance_oth,mental_health,,notes,"<span style=""color: purple;""><strong>MH-4a</strong></span>Specify other substances.",,,,,,,"[mh_substance_used(8)] = '1'",y,,,,,
mh_pnq,mental_health,,radio,"<span style=""color: purple;""><strong>MH-5</strong></span> PNQ Score","A, 2 Points | B, 3-4 Points | C, 5-6 Points | D, 7-8 points | E, 9-10 points",,,,,,"[mh_screening_tools] = '1'",,,,,,
mh_ssq,mental_health,,radio,"<span style=""color: purple;""><strong>MH-6</strong></span> SSQ Score","0, None | 1, Slight | 2, Moderate | 3, Severe",,,,,,"[mh_screening_tools] = '1'",,,,,,
mh_substance_use,mental_health,,text,"<span style=""color: purple;""><strong>MH-7</strong></span> Substance use",,,,,,,"[mh_screening_tools] = '1'",,,,,," @HIDDEN"
he_access,health_education,,radio,"<span style=""color: blue;""><strong>HE-S</strong></span> Did the client access this service?","Y, Yes | N, No | UN, Unverified",,,,,,,y,,,,,
he_receive,health_education,,yesno,"<span style=""color: blue;""><strong>HE-1</strong></span> Did the client receive health education?",,,,,,,"[he_access] = 'Y'",y,,,,,
he_receive_from,health_education,,checkbox,"<span style=""color: blue;""><strong>HE-2</strong></span> From whom did they receive it?","1, Peer | 2, Adolescent nurse | 3, VHW | 4, other HCW | 5, Digital Health Hub App",,,,,,"[he_receive] = '1'",y,,,,,
he_topics,health_education,,checkbox,"<span style=""color: blue;""><strong>HE-3</strong></span>  Which topics were discussed?","1, STI | 2, HIV | 3, PREP | 4, Contraception | 5, Menstrual Health | 6, ANC | 7, PNC | 8, Depression | 9, Anxiety | 10, Substance use | 11, Other",,,,,,"[he_receive_from(1)] = '1' or [he_receive_from(2)] = '1' or [he_receive_from(3)] = '1' or [he_receive_from(4)] = '1' or [he_receive_from(5)] = '1'",y,,,,,
hp_topics_other,health_education,,text,"<span style=""color: blue;""><strong>HE-3a</strong></span> Specify on other",,,,,,,"[he_topics(11)] = '1'",y,,,,,
couns_access,counselling,,radio,"<span style=""color: red;""><strong>C-S</strong></span> Did the client access this service?","Y, Yes | N, No | UN, Unverified",,,,,,,y,,,,,
couns_receive,counselling,,yesno,"<span style=""color: red;""><strong>C-3</strong></span> Did client receive any counseling?",,,,,,,"[couns_access] = 'Y'",y,,,,,
counc_who,counselling,,checkbox,"<span style=""color: red;""><strong>C-2</strong></span> Who did the counseling on the client? Select all necessary.","1, Peer | 2, Adolescent Nurse | 3, Counselor | 4, VHW, | 5, Other HCW",,,,,,"[couns_receive] = '1'",y,,,,,
pls_access,peer_support_register,,radio,"<font color=""red""><b>PS-S</b></font> Did the client access this service?","Y, Yes | N, No | UN, Unverified",,,,,,,y,,,,,
pls_session_conducted,peer_support_register,,yesno,"<font color=""red""><b>PS-0</b></font> Was a peer-led session conducted?",,,,,,,"[pls_access] = 'Y'",y,,,,,
pls_date,peer_support_register,,text,"<font color=""red""><b>PS-1</b></font>  Peer-Led support session date.",,,date_ymd,,,,"[pls_session_conducted] = '1'",y,,,,,
